=== test_sub1  (test_acc=39.59%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    6      1.5137     97.53%    0.0830    99.10%
    7      1.4810     98.18%    0.0658    99.50%
    8      1.4608     98.65%    0.0555    99.80%
    9      1.4483     98.88%    0.0465    99.75%
   10      1.4367     99.18%    0.0329    99.86%
   11      1.4269     99.43%    0.0304    99.86%
   12      1.4238     99.50%    0.0318    99.71%
   13      1.4187     99.54%    0.0248    99.84%
   14      1.4175     99.54%    0.0258    99.80%
   15      1.4158     99.60%    0.0275    99.86%
   16      1.4141     99.69%    0.0221    99.87%
   17      1.4122     99.71%    0.0213    99.89%
   18      1.4111     99.66%    0.0224    99.80%
   19      1.4116     99.69%    0.0189    99.89%
   20      1.4118     99.71%    0.0218    99.82%

=== test_sub12  (test_acc=44.38%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      2.1862     66.07%    0.6768    69.71%
    2      1.8375     86.03%    0.4617    78.76%
    3      1.6810     92.30%    0.4112    81.32%
    4      1.6022     95.34%    0.2911    89.13%
    5      1.5399     97.08%    0.2542    90.39%
    6      1.4981     98.05%    0.2758    88.35%
    7      1.4728     98.71%    0.2242    90.93%
    8      1.4545     98.98%    0.2538    89.22%
    9      1.4423     99.29%    0.1962    92.04%
   10      1.4341     99.40%    0.1844    92.78%
   11      1.4260     99.49%    0.1640    92.98%
   12      1.4200     99.58%    0.1625    93.75%
   13      1.4160     99.68%    0.1500    93.93%
   14      1.4137     99.75%    0.1780    93.20%
   15      1.4106     99.76%    0.1785    93.07%
   16      1.4101     99.74%    0.1729    92.89%
   17      1.4079     99.85%    0.1496    93.72%
   18      1.4085     99.80%    0.1552    93.75%
   19      1.4068     99.90%    0.1443    94.08%
   20      1.4071     99.83%    0.1565    93.61%

=== test_sub13  (test_acc=51.58%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      2.1768     66.53%    0.7324    63.05%
    2      1.8135     86.68%    0.8049    64.38%
    3      1.6700     92.14%    0.9650    63.08%
    4      1.6001     94.56%    1.2921    60.19%
    5      1.5488     96.39%    1.3651    59.85%
    6      1.5005     97.46%    1.4403    60.42%
    7      1.4778     98.35%    1.5471    58.98%
    8      1.4622     98.59%    1.5229    59.43%
    9      1.4498     98.92%    1.6835    59.31%
   10      1.4374     99.27%    1.6198    60.24%
   11      1.4280     99.35%    1.6236    59.14%
   12      1.4235     99.54%    1.7579    57.96%
   13      1.4199     99.63%    1.7483    57.92%
   14      1.4187     99.57%    1.7651    57.78%
   15      1.4155     99.56%    1.8373    57.20%
   16      1.4119     99.69%    1.8063    57.67%
   17      1.4103     99.73%    1.7795    57.76%
   18      1.4106     99.73%    1.8868    57.40%
   19      1.4100     99.69%    1.8671    57.60%
   20      1.4103     99.68%    1.9185    57.29%

=== test_sub14  (test_acc=66.27%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      2.1944     65.36%    0.5531    80.36%
    2      1.8452     85.25%    0.3428    91.85%
    3      1.6895     91.38%    0.2371    94.58%
    4      1.6092     94.42%    0.1711    97.37%
    5      1.5530     96.46%    0.1275    98.40%
    6      1.5081     97.48%    0.1272    96.76%
    7      1.4796     98.34%    0.0892    98.99%
    8      1.4605     98.67%    0.0951    97.52%
    9      1.4438     99.18%    0.0703    98.74%
   10      1.4340     99.24%    0.0592    99.19%
   11      1.4253     99.49%    0.0548    99.35%
   12      1.4231     99.51%    0.0440    99.60%
   13      1.4192     99.57%    0.0415    99.71%
   14      1.4158     99.62%    0.0399    99.75%
   15      1.4130     99.68%    0.0422    99.46%
   16      1.4099     99.74%    0.0338    99.80%
   17      1.4120     99.65%    0.0342    99.78%
   18      1.4091     99.77%    0.0393    99.71%
   19      1.4086     99.78%    0.0340    99.71%
   20      1.4096     99.71%    0.0295    99.86%

