=== test_sub1  (test_acc=41.73%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
   10      0.0785     99.68%    0.9707    74.95%
   11      0.0773     99.67%    1.3489    68.95%
   12      0.0823     99.47%    1.4700    65.50%
   13      0.0835     99.39%    1.7447    64.31%
   14      0.0743     99.75%    1.6781    65.82%
   15      0.0720     99.80%    1.9085    62.33%
   16      0.0696     99.91%    1.3053    70.79%
   17      0.0719     99.78%    1.6635    66.88%
   18      0.0676     99.92%    1.4932    67.39%
   19      0.0684     99.87%    1.4698    67.01%
   20      0.0697     99.80%    1.4263    68.45%
   21      0.0715     99.76%    1.4589    68.77%
   22      0.0661     99.92%    1.1720    71.33%
   23      0.0658     99.90%    1.1458    70.79%
   24      0.0637     99.96%    0.9925    74.77%
   25      0.0647     99.90%    0.9955    73.20%
   26      0.0630     99.97%    1.2887    68.38%
   27      0.0619     99.99%    1.3027    68.66%
   28      0.0624     99.97%    1.2271    71.26%
   29      0.0620     99.97%    1.3480    67.93%
   30      0.0610     99.97%    0.8862    76.76%
   31      0.0607     99.99%    0.8928    75.41%
   32      0.0600    100.00%    0.7909    78.37%
   33      0.0604     99.98%    0.9311    75.09%
   34      0.0591    100.00%    0.9316    74.48%
   35      0.0591    100.00%    1.0067    72.08%
   36      0.0593     99.98%    0.9411    73.42%
   37      0.0586     99.98%    0.8372    74.42%
   38      0.0581     99.99%    0.9248    72.80%
   39      0.0582     99.99%    0.8931    74.80%
   40      0.0579    100.00%    0.8128    75.34%
   41      0.0580    100.00%    0.8162    74.95%
   42      0.0578     99.99%    0.9722    71.62%
   43      0.0575    100.00%    0.9543    72.14%
   44      0.0575     99.99%    0.9823    71.71%
   45      0.0574    100.00%    0.8828    74.42%
   46      0.0579    100.00%    0.9387    72.86%
   47      0.0576    100.00%    0.8147    74.77%
   48      0.0574    100.00%    0.9030    73.43%
   49      0.0573    100.00%    0.9120    72.95%
   50      0.0571    100.00%    0.9006    73.07%

=== test_sub8  (test_acc=80.92%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.5107     82.85%    0.7064    73.25%
    2      0.1968     96.17%    0.9942    70.23%
    3      0.1404     97.76%    1.0669    71.72%
    4      0.1174     98.47%    1.2403    70.03%
    5      0.0970     99.23%    1.2263    70.48%
    6      0.1014     98.86%    1.3864    68.74%
    7      0.0893     99.30%    1.1972    74.10%
    8      0.0831     99.54%    1.2695    72.84%
    9      0.0878     99.31%    1.2998    73.81%
   10      0.0772     99.76%    1.3654    73.20%
   11      0.0796     99.64%    1.3786    71.29%
   12      0.0807     99.56%    1.4957    71.08%
   13      0.0757     99.71%    1.2827    76.40%
   14      0.0728     99.81%    1.3924    72.75%
   15      0.0750     99.67%    1.4264    72.86%
   16      0.0827     99.40%    1.3259    72.50%
   17      0.0704     99.84%    1.4721    71.81%
   18      0.0695     99.87%    1.3051    74.55%
   19      0.0669     99.94%    1.4213    72.07%
   20      0.0659     99.96%    1.2385    75.85%
   21      0.0661     99.93%    1.2107    75.54%
   22      0.0638     99.98%    1.2510    75.14%
   23      0.0639     99.99%    1.1571    76.06%
   24      0.0637     99.96%    1.4539    71.36%
   25      0.0627     99.99%    1.4603    72.08%
   26      0.0628     99.95%    1.1935    74.51%
   27      0.0619     99.99%    1.2656    74.19%
