=== test_sub1  (test_acc=78.54%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
   20      0.0645    100.00%    0.0002   100.00%

=== test_sub12  (test_acc=66.07%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.3578     90.29%    0.0304    99.68%
    2      0.1057     99.45%    0.0034   100.00%
    3      0.0838     99.78%    0.0015   100.00%
    4      0.0787     99.82%    0.0010   100.00%
    5      0.0768     99.84%    0.0006   100.00%
    6      0.0743     99.90%    0.0005   100.00%
    7      0.0717     99.91%    0.0003   100.00%
    8      0.0710     99.95%    0.0002   100.00%
    9      0.0695     99.96%    0.0002   100.00%
   10      0.0680    100.00%    0.0001   100.00%
   11      0.0670    100.00%    0.0001   100.00%
   12      0.0661    100.00%    0.0001   100.00%
   13      0.0659    100.00%    0.0002   100.00%
   14      0.0653     99.99%    0.0001   100.00%
   15      0.0652     99.99%    0.0002   100.00%
   16      0.0649    100.00%    0.0002   100.00%
   17      0.0648     99.99%    0.0001   100.00%
   18      0.0646    100.00%    0.0001   100.00%
   19      0.0646    100.00%    0.0001   100.00%
   20      0.0641     99.99%    0.0001   100.00%

=== test_sub13  (test_acc=66.71%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.3499     90.39%    0.0419    99.86%
    2      0.1102     99.24%    0.0058   100.00%
    3      0.0861     99.69%    0.0027   100.00%
    4      0.0789     99.82%    0.0014   100.00%
    5      0.0736     99.95%    0.0007   100.00%
    6      0.0725     99.96%    0.0006   100.00%
    7      0.0712     99.95%    0.0008   100.00%
    8      0.0716     99.91%    0.0005   100.00%
    9      0.0690     99.98%    0.0005   100.00%
   10      0.0684     99.96%    0.0003   100.00%
   11      0.0674     99.99%    0.0004   100.00%
   12      0.0666     99.99%    0.0004   100.00%
   13      0.0656    100.00%    0.0003   100.00%
   14      0.0658     99.99%    0.0003   100.00%
   15      0.0651    100.00%    0.0003   100.00%
   16      0.0649    100.00%    0.0003   100.00%
   17      0.0641    100.00%    0.0003   100.00%
   18      0.0643     99.99%    0.0003   100.00%
   19      0.0642    100.00%    0.0003   100.00%
   20      0.0644    100.00%    0.0003   100.00%

=== test_sub14  (test_acc=74.07%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.3574     90.09%    0.0296   100.00%
    2      0.1073     99.39%    0.0039   100.00%
    3      0.0820     99.85%    0.0017   100.00%
    4      0.0785     99.82%    0.0021    99.96%
    5      0.0734     99.94%    0.0003   100.00%
    6      0.0712     99.93%    0.0014   100.00%
    7      0.0748     99.83%    0.0009   100.00%
    8      0.0702     99.98%    0.0002   100.00%
    9      0.0688     99.97%    0.0002   100.00%
   10      0.0676     99.99%    0.0002   100.00%
   11      0.0672    100.00%    0.0002   100.00%
   12      0.0664    100.00%    0.0002   100.00%
   13      0.0655    100.00%    0.0001   100.00%
   14      0.0655     99.99%    0.0002   100.00%
   15      0.0655     99.99%    0.0002   100.00%
   16      0.0645    100.00%    0.0002   100.00%
   17      0.0643     99.99%    0.0002   100.00%
   18      0.0644    100.00%    0.0002   100.00%
   19      0.0645    100.00%    0.0002   100.00%
   20      0.0638    100.00%    0.0002   100.00%

