=== test_sub1  (test_acc=72.96%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
   18      1.3908    100.00%    0.0008   100.00%
   19      1.3903     99.97%    0.0008   100.00%
   20      1.3898    100.00%    0.0007   100.00%
   21      1.3896     99.97%    0.0006   100.00%
   22      1.3888     99.99%    0.0005   100.00%
   23      1.3886     99.99%    0.0004   100.00%
   24      1.3884     99.99%    0.0004   100.00%
   25      1.3884    100.00%    0.0003   100.00%
   26      1.3882     99.99%    0.0003   100.00%
   27      1.3887     99.98%    0.0003   100.00%
   28      1.3880    100.00%    0.0002   100.00%
   29      1.3876     99.99%    0.0003   100.00%
   30      1.3878    100.00%    0.0002   100.00%
   31      1.3881     99.99%    0.0002   100.00%
   32      1.3876     99.99%    0.0002   100.00%
   33      1.3874    100.00%    0.0002   100.00%
   34      1.3877    100.00%    0.0002   100.00%
   35      1.3876    100.00%    0.0002   100.00%
   36      1.3876    100.00%    0.0002   100.00%
   37      1.3874    100.00%    0.0002   100.00%
   38      1.3874    100.00%    0.0002   100.00%
   39      1.3874    100.00%    0.0002   100.00%
   40      1.3875    100.00%    0.0002   100.00%
   41      1.3873    100.00%    0.0001   100.00%
   42      1.3873    100.00%    0.0001   100.00%
   43      1.3872    100.00%    0.0002   100.00%
   44      1.3872    100.00%    0.0001   100.00%
   45      1.3874    100.00%    0.0002   100.00%
   46      1.3871    100.00%    0.0001   100.00%
   47      1.3872    100.00%    0.0001   100.00%
   48      1.3872     99.99%    0.0001   100.00%
   49      1.3873     99.99%    0.0001   100.00%
   50      1.3872    100.00%    0.0001   100.00%

=== test_sub8  (test_acc=91.53%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      2.0355     75.10%    0.3689    91.02%
    2      1.6898     91.18%    0.1835    97.16%
    3      1.5667     96.37%    0.0882    99.69%
    4      1.5032     98.63%    0.0449    99.87%
    5      1.4669     99.27%    0.0239    99.89%
    6      1.4433     99.60%    0.0142   100.00%
    7      1.4312     99.78%    0.0091   100.00%
    8      1.4240     99.86%    0.0065   100.00%
    9      1.4146     99.87%    0.0045   100.00%
   10      1.4081     99.89%    0.0034   100.00%
   11      1.4042     99.92%    0.0025   100.00%
   12      1.4000     99.93%    0.0021   100.00%
   13      1.3980     99.92%    0.0017   100.00%
   14      1.3954     99.96%    0.0013   100.00%
   15      1.3941     99.97%    0.0010   100.00%
   16      1.3935     99.96%    0.0009   100.00%
   17      1.3923     99.96%    0.0007   100.00%
   18      1.3910     99.99%    0.0006   100.00%
   19      1.3902     99.99%    0.0005   100.00%
   20      1.3899     99.98%    0.0004   100.00%
   21      1.3894     99.99%    0.0003   100.00%
   22      1.3893     99.99%    0.0003   100.00%
   23      1.3893     99.98%    0.0003   100.00%
   24      1.3886    100.00%    0.0002   100.00%
   25      1.3887     99.99%    0.0003   100.00%
   26      1.3883    100.00%    0.0002   100.00%
   27      1.3885     99.99%    0.0002   100.00%
   28      1.3881    100.00%    0.0002   100.00%
   29      1.3881    100.00%    0.0002   100.00%
   30      1.3878    100.00%    0.0001   100.00%
   31      1.3880    100.00%    0.0001   100.00%
   32      1.3877     99.99%    0.0001   100.00%
   33      1.3875    100.00%    0.0001   100.00%
   34      1.3875    100.00%    0.0001   100.00%
   35      1.3876    100.00%    0.0001   100.00%
   36      1.3875    100.00%    0.0001   100.00%
   37      1.3875    100.00%    0.0001   100.00%
   38      1.3873    100.00%    0.0001   100.00%
   39      1.3872    100.00%    0.0001   100.00%
   40      1.3874    100.00%    0.0001   100.00%
   41      1.3873    100.00%    0.0001   100.00%
   42      1.3873    100.00%    0.0001   100.00%
   43      1.3874     99.99%    0.0001   100.00%
   44      1.3872    100.00%    0.0001   100.00%
   45      1.3872    100.00%    0.0001   100.00%
   46      1.3873    100.00%    0.0001   100.00%
   47      1.3873    100.00%    0.0001   100.00%
   48      1.3872    100.00%    0.0001   100.00%
   49      1.3872    100.00%    0.0001   100.00%
   50      1.3871    100.00%    0.0001   100.00%

=== test_sub9  (test_acc=74.98%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      2.0054     76.83%    0.3295    91.65%
    2      1.6702     92.05%    0.1574    97.62%
    3      1.5493     96.68%    0.0744    99.66%
    4      1.4915     98.71%    0.0388   100.00%
    5      1.4657     99.40%    0.0219   100.00%
    6      1.4448     99.57%    0.0135   100.00%
    7      1.4301     99.73%    0.0092   100.00%
    8      1.4226     99.82%    0.0059   100.00%
    9      1.4133     99.82%    0.0042   100.00%
   10      1.4068     99.92%    0.0029   100.00%
   11      1.4037     99.91%    0.0023   100.00%
   12      1.3990     99.93%    0.0017   100.00%
   13      1.3971     99.95%    0.0013   100.00%
   14      1.3954     99.96%    0.0011   100.00%
   15      1.3936     99.95%    0.0010   100.00%
   16      1.3924     99.96%    0.0007   100.00%
   17      1.3917     99.96%    0.0005   100.00%
   18      1.3906     99.96%    0.0006   100.00%
   19      1.3902     99.96%    0.0004   100.00%
   20      1.3897     99.97%    0.0004   100.00%
   21      1.3891     99.97%    0.0003   100.00%
   22      1.3888     99.99%    0.0003   100.00%
   23      1.3891     99.98%    0.0002   100.00%
   24      1.3887     99.99%    0.0002   100.00%
   25      1.3887     99.97%    0.0002   100.00%
   26      1.3883     99.98%    0.0002   100.00%
   27      1.3880     99.99%    0.0002   100.00%
   28      1.3881     99.99%    0.0001   100.00%
   29      1.3878    100.00%    0.0001   100.00%
   30      1.3877    100.00%    0.0001   100.00%
   31      1.3878    100.00%    0.0001   100.00%
   32      1.3878     99.98%    0.0001   100.00%
   33      1.3875    100.00%    0.0001   100.00%
   34      1.3878     99.98%    0.0001   100.00%
   35      1.3876     99.99%    0.0001   100.00%
   36      1.3875    100.00%    0.0001   100.00%
   37      1.3874    100.00%    0.0001   100.00%
   38      1.3872    100.00%    0.0001   100.00%
   39      1.3874     99.99%    0.0001   100.00%
   40      1.3874     99.99%    0.0001   100.00%
   41      1.3872    100.00%    0.0001   100.00%
   42      1.3872    100.00%    0.0001   100.00%
   43      1.3872    100.00%    0.0001   100.00%
   44      1.3871    100.00%    0.0001   100.00%
   45      1.3872    100.00%    0.0001   100.00%
   46      1.3873    100.00%    0.0001   100.00%
   47      1.3873     99.99%    0.0001   100.00%
   48      1.3873    100.00%    0.0001   100.00%
   49      1.3873    100.00%    0.0001   100.00%
   50      1.3873    100.00%    0.0001   100.00%

=== test_sub10  (test_acc=79.10%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      2.0038     76.40%    0.3473    90.86%
    2      1.6600     92.21%    0.1645    97.43%
    3      1.5502     96.80%    0.0807    99.62%
    4      1.5002     98.77%    0.0404    99.95%
    5      1.4601     99.43%    0.0221   100.00%
    6      1.4426     99.67%    0.0143   100.00%
    7      1.4272     99.79%    0.0091   100.00%
    8      1.4156     99.91%    0.0065   100.00%
    9      1.4089     99.91%    0.0046   100.00%
   10      1.4043     99.94%    0.0033   100.00%
   11      1.3994     99.97%    0.0025   100.00%
   12      1.3965     99.93%    0.0018   100.00%
   13      1.3952     99.95%    0.0015   100.00%
   14      1.3933     99.95%    0.0012   100.00%
   15      1.3925     99.98%    0.0010   100.00%
   16      1.3904     99.99%    0.0007   100.00%
   17      1.3910     99.96%    0.0007   100.00%
   18      1.3894    100.00%    0.0005   100.00%
   19      1.3894     99.99%    0.0005   100.00%
   20      1.3893    100.00%    0.0004   100.00%
   21      1.3891     99.99%    0.0004   100.00%
   22      1.3890     99.98%    0.0004   100.00%
   23      1.3886    100.00%    0.0003   100.00%
   24      1.3881    100.00%    0.0002   100.00%
   25      1.3884     99.99%    0.0003   100.00%
   26      1.3882     99.99%    0.0003   100.00%
   27      1.3884     99.98%    0.0002   100.00%
   28      1.3876    100.00%    0.0002   100.00%
   29      1.3882     99.98%    0.0002   100.00%
   30      1.3879     99.99%    0.0002   100.00%
   31      1.3877    100.00%    0.0002   100.00%
   32      1.3878     99.99%    0.0001   100.00%
   33      1.3873    100.00%    0.0001   100.00%
   34      1.3874    100.00%    0.0001   100.00%
   35      1.3876     99.99%    0.0001   100.00%
   36      1.3875    100.00%    0.0001   100.00%
   37      1.3873    100.00%    0.0001   100.00%
   38      1.3872    100.00%    0.0001   100.00%
   39      1.3873    100.00%    0.0001   100.00%
   40      1.3873    100.00%    0.0001   100.00%
   41      1.3872    100.00%    0.0001   100.00%
   42      1.3872    100.00%    0.0001   100.00%
   43      1.3872    100.00%    0.0001   100.00%
   44      1.3871    100.00%    0.0001   100.00%
